name	domain	phylum	class	order	family	genus	species
PDCoV_3.37	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Megasphaeraceae	g__Megasphaera	s__Megasphaera elsdenii
Mock_2.119	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter torques
Mock_4.69	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Limousia	s__Limousia pullorum
Mock_2.75	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus reuteri
PDCoV_5.7	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus mucosae
PDCoV_7.31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__Limivicinus sp946061515
PDCoV_4.48	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__Limivicinus sp029010715
PDCoV_6.38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__Limivicinus sp003150355
PDCoV_4.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Aristaeellaceae	g__Limiplasma	s__Limiplasma sp004556545
PDCoV_5.40	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus salivarius
PDCoV_3.68	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Lepagella	s__Lepagella sp002491165
PDCoV_3.23	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Lepagella	s__Lepagella sp000437495
PDCoV_5.113	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter_A	s__Lawsonibacter_A hominis
PDCoV_5.149	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp000177015
Mock_2.29	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus sp947171515
PDCoV_4.151	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus delbrueckii_B
PDCoV_3.102	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus amylovorus
Mock_3.18	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae
PDCoV_2.88	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__JAHHTG01	s__JAHHTG01 sp029097145
PDCoV_6.32	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__JAFBIX01	s__JAFBIX01 sp021531895
PDCoV_5.36	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	s__Intestinimonas massiliensis
PDCoV_6.8	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	s__Intestinimonas massiliensis
PDCoV_2.164	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	s__Intestinimonas butyriciproducens
Mock_2.34	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella	s__Hungatella effluvii
PDCoV_7.53	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Hominicoprocola	s__Hominicoprocola sp900317525
PDCoV_2.139	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Hominicoprocola	s__Hominicoprocola sp003522105
PDCoV_6.51	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemanella	s__Holdemanella porci
PDCoV_4.58	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-917	g__HGM11377	s__HGM11377 sp900755035
PDCoV_5.86	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp900545545
PDCoV_4.193	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp004561545
Mock_2.54	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A varium
Mock_5.61	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A mortiferum
Mock_2.84	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium gastrosuis
PDCoV_2.74	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Fimivicinus	s__Fimivicinus sp900544715
Mock_4.27	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Fimivicinus	s__Fimivicinus sp002320555
PDCoV_3.98	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp900546415
Mock_5.5	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__Faecalimonas sp029983955
PDCoV_2.190	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__F23-B02	s__F23-B02 sp004558025
PDCoV_6.47	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__Evtepia sp004551945
PDCoV_3.229	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R coprostanoligenes
Mock_6.34	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
Mock_4.58	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_E	s__Enterococcus_E cecorum
Mock_8.23	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_D	s__Enterococcus_D gallinarum
Mock_4.35	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
PDCoV_7.132	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster porci
Mock_4.40	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster clostridioformis
Mock_4.12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster aldenensis
PDCoV_6.140	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__Dysosmobacter sp004558115
PDCoV_6.59	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A sp016295505
Mock_4.21	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio sp900556755
Mock_4.1	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium acnes
Mock_6.48	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp900769145
PDCoV_7.100	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp900546445
PDCoV_5.31	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp022777585
