pathway	ID
map00120:Primary bile acid biosynthesis	C00037
map00120:Primary bile acid biosynthesis	C00187
map00120:Primary bile acid biosynthesis	C00245
map00120:Primary bile acid biosynthesis	C00695
map00120:Primary bile acid biosynthesis	C01301
map00120:Primary bile acid biosynthesis	C01794
map00120:Primary bile acid biosynthesis	C01921
map00120:Primary bile acid biosynthesis	C02528
map00120:Primary bile acid biosynthesis	C03594
map00120:Primary bile acid biosynthesis	C04554
map00120:Primary bile acid biosynthesis	C04722
map00120:Primary bile acid biosynthesis	C05122
map00120:Primary bile acid biosynthesis	C05337
map00120:Primary bile acid biosynthesis	C05444
map00120:Primary bile acid biosynthesis	C05445
map00120:Primary bile acid biosynthesis	C05446
map00120:Primary bile acid biosynthesis	C05447
map00120:Primary bile acid biosynthesis	C05448
map00120:Primary bile acid biosynthesis	C05449
map00120:Primary bile acid biosynthesis	C05451
map00120:Primary bile acid biosynthesis	C05452
map00120:Primary bile acid biosynthesis	C05453
map00120:Primary bile acid biosynthesis	C05454
map00120:Primary bile acid biosynthesis	C05455
map00120:Primary bile acid biosynthesis	C05460
map00120:Primary bile acid biosynthesis	C05465
map00120:Primary bile acid biosynthesis	C05466
map00120:Primary bile acid biosynthesis	C05467
map00120:Primary bile acid biosynthesis	C05468
map00120:Primary bile acid biosynthesis	C06341
map00120:Primary bile acid biosynthesis	C13550
map00120:Primary bile acid biosynthesis	C15518
map00120:Primary bile acid biosynthesis	C15519
map00120:Primary bile acid biosynthesis	C15520
map00120:Primary bile acid biosynthesis	C15610
map00120:Primary bile acid biosynthesis	C15613
map00120:Primary bile acid biosynthesis	C15614
map00120:Primary bile acid biosynthesis	C17331
map00120:Primary bile acid biosynthesis	C17332
map00120:Primary bile acid biosynthesis	C17333
map00120:Primary bile acid biosynthesis	C17335
map00120:Primary bile acid biosynthesis	C17336
map00120:Primary bile acid biosynthesis	C17337
map00120:Primary bile acid biosynthesis	C17339
map00120:Primary bile acid biosynthesis	C17343
map00120:Primary bile acid biosynthesis	C17345
map00120:Primary bile acid biosynthesis	C17346
map00121:Secondary bile acid biosynthesis	C00695
map00121:Secondary bile acid biosynthesis	C01921
map00121:Secondary bile acid biosynthesis	C02528
map00121:Secondary bile acid biosynthesis	C03990
map00121:Secondary bile acid biosynthesis	C04483
map00121:Secondary bile acid biosynthesis	C05122
map00121:Secondary bile acid biosynthesis	C05337
map00121:Secondary bile acid biosynthesis	C05465
map00121:Secondary bile acid biosynthesis	C05466
map00121:Secondary bile acid biosynthesis	C07880
map00121:Secondary bile acid biosynthesis	C15515
map00121:Secondary bile acid biosynthesis	C15517
map00121:Secondary bile acid biosynthesis	C17644
map00121:Secondary bile acid biosynthesis	C17646
map00121:Secondary bile acid biosynthesis	C17647
map00121:Secondary bile acid biosynthesis	C17649
map00121:Secondary bile acid biosynthesis	C17650
map00121:Secondary bile acid biosynthesis	C17651
map00121:Secondary bile acid biosynthesis	C17654
map00121:Secondary bile acid biosynthesis	C17657
map00121:Secondary bile acid biosynthesis	C17658
map00121:Secondary bile acid biosynthesis	C17660
map00121:Secondary bile acid biosynthesis	C17662
map00121:Secondary bile acid biosynthesis	C17664
map00121:Secondary bile acid biosynthesis	C17667
map00121:Secondary bile acid biosynthesis	C17668
map00121:Secondary bile acid biosynthesis	C17687
map00121:Secondary bile acid biosynthesis	C17689
map00121:Secondary bile acid biosynthesis	C17726
map00121:Secondary bile acid biosynthesis	C17727
map00121:Secondary bile acid biosynthesis	C17737
map00121:Secondary bile acid biosynthesis	C20865
map00121:Secondary bile acid biosynthesis	C20866
map00121:Secondary bile acid biosynthesis	C20867
map00121:Secondary bile acid biosynthesis	C20868
map00121:Secondary bile acid biosynthesis	C21449
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00082
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00156
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00223
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00251
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00341
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00353
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00390
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00423
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00544
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00811
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00828
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C00885
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C01179
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C02059
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C02477
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C02483
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C02730
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C02949
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C03160
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C03313
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C03657
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C03964
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C03993
map00130:Ubiquinone and other terpenoid-quinone biosynthesis	C04145
